season,session,round,name,final_time,speed_mean,speed_max,speed_min,speed_std,rpm_mean,rpm_max,rpm_std,throttle_mean,throttle_std,throttle_full_ratio,brake_ratio,gear_mean,gear_std,distance_total,speed_range
2019,Q,1,ALB,82.636,230.14375751169683,325,86,61.31121659255651,10549.114560404792,11948,944.5363448790248,78.64109833023612,36.649919090488346,0.6827697262479872,0.14170692431561996,6.003220611916264,1.71332235200999,5280.6551872529735,239
2019,Q,1,BOT,80.598,236.10512921750797,322,93,57.75852193796986,10751.967293109135,12352,997.4763540266142,80.69331269186316,35.0775271210412,0.6920529801324503,0.1076158940397351,6.127483443708609,1.5976681675251319,5281.927882756852,229
2019,Q,1,GAS,83.02,229.12510205013436,318,89,58.790294367405295,10631.884510198572,12490,940.987808584425,77.47953748379496,37.92524910707757,0.6746794871794872,0.13141025641025642,5.907051282051282,1.612854151564816,5281.092511924625,229
2019,Q,1,GIO,82.431,231.5846185258889,324,84,61.64535814797558,10533.302248479893,12187,1181.0938334941,79.17529831561768,36.25230254383507,0.6843800322061192,0.14492753623188406,6.035426731078905,1.6997251257455568,5292.520403866118,240
2019,Q,1,GRO,81.826,233.31623381485625,319,88,58.025541387273826,10752.581277753374,12160,930.4466318155401,79.2577621226544,36.304867464533025,0.7175697865353038,0.11822660098522167,6.064039408866995,1.572011818129598,5287.799619849099,231
2019,Q,1,HAM,80.486,236.7649098019917,320,89,57.893192747101885,10807.358568498861,12221,1025.738589375344,81.7259940272306,33.87860468698445,0.7003367003367004,0.11447811447811448,6.158249158249158,1.5545855464144476,5283.7557308554215,231
2019,Q,1,HUL,82.54,230.96983189799795,320,90,59.278686673172324,10424.067900675778,11631,1006.6099710155337,78.21831811962636,37.46698534651379,0.6876006441223832,0.1497584541062802,5.830917874396135,1.523602679142324,5289.949860083069,230
2019,Q,1,KUB,86.067,221.30837757626392,317,85,60.88608584626995,10492.258371923966,12308,1142.942355299015,76.06059442753171,37.83789756954173,0.6327160493827161,0.17746913580246915,5.589506172839506,1.5531832208168685,5287.230686766602,232
2019,Q,1,KVY,82.511,230.60282702402034,324,85,60.324456223583276,10638.817586098681,12056,784.0903581644216,78.76521104770097,36.555864661527366,0.6790322580645162,0.13064516129032258,5.966129032258064,1.75212251144633,5286.241338832674,239
2019,Q,1,LEC,81.442,234.05709227894772,320,85,59.236316953805854,10699.299700319678,11828,934.2577170823984,80.75217074826188,34.30755959068399,0.6928104575163399,0.1437908496732026,6.0473856209150325,1.5167508866109587,5289.045820246973,235
